time,px,py,pz,vx,vy,vz
15.979415,0.0,0.0,0.0,0.0,0.0,0.0
15.980041,0.0,0.0,0.0,0.0,0.0,0.0
15.980666,0.0,0.0,0.0,0.0,0.0,0.0
15.981291,0.0,0.0,0.0,0.0,0.0,0.0
15.982988,0.0,0.0,0.0,0.0,0.0,0.0
15.983614,0.0,0.0,0.0,0.0,0.0,0.0
15.984239,0.0,0.0,0.0,0.0,0.0,0.0
15.984866,0.0,0.0,0.0,0.0,0.0,0.0
15.985493,0.0,0.0,0.0,0.0,0.0,0.0
15.986118,0.0,0.0,0.0,0.0,0.0,0.0
15.986743,0.0,0.0,0.0,0.0,0.0,0.0
15.987369,0.0,0.0,0.0,0.0,0.0,0.0
15.987994,0.0,0.0,0.0,0.0,0.0,0.0
15.988621,0.0,0.0,0.0,0.0,0.0,0.0
15.989247,0.0,0.0,0.0,0.0,0.0,0.0
15.989872,0.0,0.0,0.0,0.0,0.0,0.0
15.990497,0.0,0.0,0.0,0.0,0.0,0.0
15.991124,0.0,0.0,0.0,0.0,0.0,0.0
15.991749,0.0,0.0,0.0,0.0,0.0,0.0
15.993456,0.0,0.0,0.0,0.0,0.0,0.0
15.994081,0.0,0.0,0.0,0.0,0.0,0.0
15.994708,0.0,0.0,0.0,0.0,0.0,0.0
15.995334,0.0,0.0,0.0,0.0,0.0,0.0
15.99596,0.0,0.0,0.0,0.0,0.0,0.0
15.996585,0.0,0.0,0.0,0.0,0.0,0.0
15.997211,0.0,0.0,0.0,0.0,0.0,0.0
15.997837,0.0,0.0,0.0,0.0,0.0,0.0
15.998462,0.0,0.0,0.0,0.0,0.0,0.0
15.999088,0.0,0.0,0.0,0.0,0.0,0.0
15.999714,0.0,0.0,0.0,0.0,0.0,0.0
16.000341,0.0,0.0,0.0,0.0,0.0,0.0
16.000967,0.0,0.0,0.0,0.0,0.0,0.0
16.001594,0.0,0.0,0.0,0.0,0.0,0.0
16.002219,0.0,0.0,0.0,0.0,0.0,0.0
16.003916,0.0,0.0,0.0,0.0,0.0,0.0
16.004541,0.0,0.0,0.0,0.0,0.0,0.0
