index,x,y,z,yaw,distance
60.7120,-0.0002,0.0007,-0.0003,-0.0095,0.0094
60.8120,-0.0005,0.0004,0.0008,-0.0023,-0.0025
60.9120,0.0001,-0.0004,-0.0000,0.0144,0.0070
61.0120,0.0003,0.0012,-0.0003,0.0096,-0.0001
61.1120,0.0001,0.0007,-0.0000,0.0025,0.0046
61.2120,-0.0002,0.0012,-0.0003,-0.0047,-0.0145
61.3120,-0.0005,0.0001,-0.0003,0.0001,-0.0025
61.4120,-0.0002,0.0004,0.0008,0.0025,0.0046
61.5120,0.0003,0.0004,-0.0003,0.0049,-0.0001
61.6120,-0.0005,0.0004,0.0003,0.0049,-0.0025
61.7120,0.0009,0.0012,-0.0000,-0.0095,0.0118
61.8120,-0.0002,0.0001,-0.0003,-0.0191,0.0094
61.9120,0.0001,0.0001,-0.0005,0.0049,0.0046
62.0120,-0.0002,0.0007,-0.0003,0.0049,0.0094
62.1120,-0.0002,0.0004,-0.0000,-0.0047,-0.0049
62.2120,0.0001,0.0001,0.0013,0.0001,0.0022
62.3120,-0.0007,0.0007,0.0005,0.0049,0.0070
62.4120,-0.0002,0.0001,0.0003,0.0001,-0.0121
62.5120,0.0001,-0.0001,-0.0003,-0.0143,-0.0001
62.6120,0.0003,0.0009,-0.0005,-0.0047,-0.0145
62.7120,0.0001,0.0004,-0.0005,-0.0095,-0.0049
62.8120,-0.0005,0.0015,0.0008,-0.0239,-0.0001
62.9120,0.0003,-0.0001,0.0005,-0.0023,0.0094
63.0120,0.0001,0.0007,0.0003,0.0049,-0.0001
63.1120,0.0003,0.0001,0.0008,-0.0167,-0.0049
63.2120,0.0003,0.0004,-0.0000,-0.0047,-0.0049
63.3120,-0.0005,0.0009,0.0003,0.0072,-0.0073
63.4120,-0.0002,0.0004,0.0003,0.0049,0.0094
63.5120,-0.0002,0.0004,-0.0000,0.0096,0.0118
63.6120,-0.0002,0.0012,0.0005,-0.0023,0.0070
63.7120,-0.0002,0.0001,0.0008,0.0120,0.0046
63.8120,0.0003,0.0007,0.0003,-0.0071,0.0094
63.9120,0.0003,0.0007,0.0008,-0.0023,0.0142
64.0120,0.0003,0.0009,-0.0000,0.0240,-0.0073
64.1120,-0.0005,0.0009,-0.0008,-0.0047,0.0046
64.2120,0.0003,0.0001,-0.0003,-0.0047,-0.0025
64.3120,-0.0002,-0.0001,-0.0011,-0.0023,-0.0049
64.4120,-0.0005,-0.0004,-0.0003,-0.0287,-0.0097
64.5120,0.0006,-0.0001,-0.0003,0.0120,-0.0001
64.6120,0.0001,0.0004,0.0005,0.0001,0.0046
64.7120,0.0006,0.0001,-0.0000,0.0168,-0.0073
64.8120,0.0001,0.0007,-0.0003,-0.0023,0.0238
64.9120,-0.0007,0.0009,-0.0005,-0.0047,0.0118
65.0120,0.0003,0.0009,0.0005,0.0096,0.0070
65.1120,-0.0005,0.0004,0.0003,-0.0071,0.0070
65.2120,-0.0005,0.0007,-0.0003,0.0049,0.0070
