time,accel x,accel y,accel z,gyro x,gyro y,gyro z
38.924523,-0.053481445,-0.080094360,0.890384674,2.698265076,0.780403137,-70.673622131
38.926263,-0.035048828,-0.051529907,0.897953033,3.636680603,-0.112236023,-70.696510315
38.926888,-0.031630859,-0.037858032,0.895267487,4.071556091,-0.402153015,-70.597328186
38.927514,-0.031020507,-0.027970336,0.899295807,4.468284607,-0.440299988,-70.521034241
38.928140,-0.030898437,-0.020401977,0.900638580,3.934226990,-0.455558777,-70.688880920
38.928765,-0.030654296,-0.012223267,0.909549713,4.117332458,-1.027763367,-70.551551819
38.929392,-0.034804687,-0.004776978,0.918338776,3.781639099,-1.256645203,-70.528663635
38.930017,-0.037734374,0.008284546,0.923954010,3.796897888,-1.668632507,-70.078529358
38.930644,-0.031508788,0.015974976,0.932987213,3.331504822,-2.248466492,-69.719947815
38.931271,-0.021743163,0.025496460,0.942630768,3.140769958,-2.416313171,-69.269813538
38.931896,-0.009780273,0.035994507,0.947635651,2.324424744,-2.790153503,-69.452919006
38.932522,0.003159180,0.040511109,0.953250885,1.782737732,-2.576530457,-69.300331116
38.933147,0.014145508,0.047713257,0.960453033,1.324974060,-2.561271667,-69.292701721
38.933774,0.023544922,0.056502320,0.968143463,0.905357361,-2.095878601,-69.536842346
38.934400,0.023178712,0.066267945,0.972660065,0.150047302,-1.409233093,-69.513954163
38.935025,0.029282227,0.077254273,0.974369049,-0.452674866,-1.004875183,-69.483436584
38.936757,0.034409180,0.102766968,0.990360260,-3.183998108,-0.135124207,-69.407142639
38.937384,0.042832032,0.103011109,0.996829987,-4.122413635,0.124275208,-69.407142639
38.938013,0.048203126,0.110091187,0.996219635,-4.992164612,0.200569153,-69.224037170
38.951918,0.174179688,0.189681023,0.996829987,-21.647132874,7.013618469,-73.458351135
38.952652,0.178940430,0.184920281,0.995975494,-22.768653870,7.234870911,-73.710121155
38.953277,0.181503907,0.184676141,0.995243073,-23.157752991,7.601081848,-74.358619690
38.953903,0.181992188,0.183089226,0.994632721,-23.882545471,7.761299133,-74.694313049
38.954528,0.186875001,0.184187859,0.992801666,-24.920143127,7.936775208,-74.999488831
38.955153,0.191025391,0.181624383,0.987552643,-25.377906799,8.005439758,-75.464881897
38.955779,0.193833008,0.180037469,0.984867096,-26.110328674,8.043586731,-75.960792542
38.956405,0.197128907,0.174056023,0.984378815,-26.346839905,8.325874329,-76.487220764
38.957032,0.195297852,0.170638055,0.983890533,-27.056373596,8.417427063,-76.883949280
38.957659,0.200424805,0.166243523,0.981327057,-27.147926331,8.379280090,-77.532447815
38.958284,0.199692383,0.164046258,0.979007721,-27.376808167,8.409797668,-77.761329651
38.958911,0.201279297,0.157820672,0.979740143,-27.887977600,8.325874329,-78.509010315
38.959538,0.204086915,0.151473016,0.979007721,-27.727760315,8.432685852,-78.776039124
