time,r00,r01,r02,r10,r11,r12,r20,r21,r22
4.988299560546875000e+01,9.987196922302246094e-01,-1.210035523399710655e-03,5.057039111852645874e-02,-5.820766091346740723e-11,9.997137784957885742e-01,2.392089925706386566e-02,-5.058486759662628174e-02,-2.389027364552021027e-02,9.984338879585266113e-01
4.989836502075195312e+01,9.985105991363525391e-01,-1.341127790510654449e-03,5.454297363758087158e-02,0.000000000000000000e+00,9.996978640556335449e-01,2.458103373646736145e-02,-5.455946177244186401e-02,-2.454442158341407776e-02,9.982088804244995117e-01
4.993672180175781250e+01,9.976550340652465820e-01,-1.048166304826736450e-03,6.842931360006332397e-02,5.820766091346740723e-11,9.998822808265686035e-01,1.531570311635732651e-02,-6.843734532594680786e-02,-1.527979504317045212e-02,9.975379705429077148e-01
4.997510910034179688e+01,9.969749450683593750e-01,-3.396030515432357788e-04,7.771974056959152222e-02,4.365574568510055542e-11,9.999902248382568359e-01,4.369542468339204788e-03,-7.772048562765121460e-02,-4.356325138360261917e-03,9.969654083251953125e-01
4.998938751220703125e+01,9.967487454414367676e-01,-9.366171434521675110e-05,8.057431131601333618e-02,-1.055013854056596756e-10,9.999994635581970215e-01,1.162427128292620182e-03,-8.057437092065811157e-02,-1.158647588454186916e-03,9.967480897903442383e-01
5.001530456542968750e+01,9.965548515319824219e-01,5.081138806417584419e-04,8.293538540601730347e-02,1.746229827404022217e-10,9.999812841415405273e-01,-6.126511376351118088e-03,-8.293693512678146362e-02,6.105403881520032883e-03,9.965361952781677246e-01
5.005374908447265625e+01,9.971185326576232910e-01,1.609823317267000675e-03,7.584272325038909912e-02,0.000000000000000000e+00,9.997748136520385742e-01,-2.122103236615657806e-02,-7.585979998111724854e-02,2.115988545119762421e-02,9.968939423561096191e-01
5.009209060668945312e+01,9.973017573356628418e-01,2.087583299726247787e-03,7.338320463895797729e-02,-2.328306436538696289e-10,9.995957612991333008e-01,-2.843619510531425476e-02,-7.341288775205612183e-02,2.835946530103683472e-02,9.968984723091125488e-01
5.010636138916015625e+01,9.973273873329162598e-01,2.216090913861989975e-03,7.302750647068023682e-02,0.000000000000000000e+00,9.995397925376892090e-01,-3.033201023936271667e-02,-7.306112349033355713e-02,3.025094792246818542e-02,9.968684911727905273e-01
5.012176132202148438e+01,9.973065853118896484e-01,2.322704531252384186e-03,7.331395149230957031e-02,-1.164153218269348145e-10,9.994989037513732910e-01,-3.166573122143745422e-02,-7.335074245929718018e-02,3.158042952418327332e-02,9.968064427375793457e-01
5.016012191772460938e+01,9.970005750656127930e-01,2.627903595566749573e-03,7.734809070825576782e-02,0.000000000000000000e+00,9.994232654571533203e-01,-3.395543619990348816e-02,-7.739271968603134155e-02,3.385359421372413635e-02,9.964256882667541504e-01
